"Passengers (All Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,10,"3,635,721","436,161","4,071,882"
2022,11,"3,535,622","383,719","3,919,341"
2022,12,"3,434,310","417,642","3,851,952"
2022,TOTAL,"40,616,664","4,831,310","45,447,974"
2023,1,"3,218,441","448,638","3,667,079"
2023,2,"3,066,403","384,079","3,450,482"
2023,3,"3,729,688","480,362","4,210,050"
2023,4,"3,670,946","508,770","4,179,716"
2023,5,"3,953,149","530,534","4,483,683"
2023,6,"4,006,017","594,997","4,601,014"
2023,7,"4,161,147","642,763","4,803,910"
2023,TOTAL,"25,805,791","3,590,143","29,395,934"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
