"Passengers (All Carriers - Chicago, IL: Chicago O'Hare International (Destination Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,5,"2,480,563","468,796","2,949,359"
2022,6,"2,576,758","578,583","3,155,341"
2022,7,"2,554,099","671,732","3,225,831"
2022,8,"2,522,544","639,003","3,161,547"
2022,9,"2,465,214","525,450","2,990,664"
2022,10,"2,552,940","498,540","3,051,480"
2022,11,"2,309,766","412,690","2,722,456"
2022,12,"2,232,937","439,320","2,672,257"
2022,TOTAL,"27,660,076","5,587,975","33,248,051"
2023,1,"2,033,197","469,882","2,503,079"
2023,2,"1,962,247","370,023","2,332,270"
2023,3,"2,401,487","494,890","2,896,377"
2023,4,"2,459,538","532,856","2,992,394"
2023,5,"2,645,795","554,225","3,200,020"
2023,6,"2,608,177","649,908","3,258,085"
2023,7,"2,675,050","718,681","3,393,731"
2023,TOTAL,"16,785,491","3,790,465","20,575,956"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
