"Passengers (All Carriers - Denver, CO: Denver International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,8,"2,920,200","150,143","3,070,343"
2022,9,"2,934,777","136,984","3,071,761"
2022,10,"3,072,254","130,196","3,202,450"
2022,11,"2,714,788","127,901","2,842,689"
2022,12,"2,597,854","152,090","2,749,944"
2022,TOTAL,"32,123,378","1,626,487","33,749,865"
2023,1,"2,543,579","136,875","2,680,454"
2023,2,"2,438,997","121,972","2,560,969"
2023,3,"2,956,178","178,398","3,134,576"
2023,4,"2,751,083","164,528","2,915,611"
2023,5,"3,046,013","171,567","3,217,580"
2023,6,"3,074,943","192,879","3,267,822"
2023,7,"3,355,576","191,149","3,546,725"
2023,TOTAL,"20,166,369","1,157,368","21,323,737"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
