"Passengers (All Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,3,"3,471,410","362,359","3,833,769"
2022,4,"3,405,235","384,396","3,789,631"
2022,5,"3,664,005","447,655","4,111,660"
2022,6,"3,510,428","485,585","3,996,013"
2022,7,"3,579,498","461,192","4,040,690"
2022,8,"3,527,355","445,938","3,973,293"
2022,9,"3,444,547","433,431","3,877,978"
2022,10,"3,615,901","431,469","4,047,370"
2022,11,"3,522,880","400,468","3,923,348"
2022,12,"3,444,649","454,155","3,898,804"
2022,TOTAL,"40,526,044","4,847,156","45,373,200"
2023,1,"3,197,792","403,523","3,601,315"
2023,2,"3,056,217","385,650","3,441,867"
2023,3,"3,720,602","485,691","4,206,293"
2023,4,"3,662,881","483,148","4,146,029"
2023,5,"4,018,737","569,659","4,588,396"
2023,6,"3,985,638","613,136","4,598,774"
2023,7,"4,084,447","595,580","4,680,027"
2023,TOTAL,"25,726,314","3,536,387","29,262,701"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
