"Passengers (All Carriers - New York, NY: John F. Kennedy International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,TOTAL,"13,967,379","13,020,628","26,988,007"
2023,1,"1,075,433","1,054,697","2,130,130"
2023,2,"1,013,352","974,883","1,988,235"
2023,3,"1,262,155","1,203,179","2,465,334"
2023,4,"1,223,697","1,297,238","2,520,935"
2023,5,"1,282,677","1,449,220","2,731,897"
2023,6,"1,223,823","1,546,895","2,770,718"
2023,7,"1,277,091","1,598,729","2,875,820"
2023,TOTAL,"8,358,228","9,124,841","17,483,069"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
