"Passengers (All Carriers - Chicago, IL: Chicago O'Hare International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2023,2,"1,973,292","360,791","2,334,083"
2023,3,"2,461,306","499,791","2,961,097"
2023,4,"2,329,944","497,208","2,827,152"
2023,5,"2,590,679","615,099","3,205,778"
2023,6,"2,587,649","697,419","3,285,068"
2023,7,"2,696,500","651,041","3,347,541"
2023,TOTAL,"16,614,643","3,745,561","20,360,204"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
