"Passengers (All Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2022,10,"2,780,354","396,216","3,176,570"
2022,11,"2,512,839","401,264","2,914,103"
2022,12,"2,580,993","470,104","3,051,097"
2022,TOTAL,"30,625,790","4,704,176","35,329,966"
2023,1,"2,326,424","386,667","2,713,091"
2023,2,"2,291,815","348,319","2,640,134"
2023,3,"2,726,152","422,885","3,149,037"
2023,4,"2,689,169","390,644","3,079,813"
2023,5,"2,971,637","464,487","3,436,124"
2023,6,"3,105,206","555,298","3,660,504"
2023,7,"3,169,886","556,804","3,726,690"
2023,TOTAL,"19,280,289","3,125,104","22,405,393"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
